link,text,type,author,author_link,date,likes,comments,reposts,views,keywords_matched
https://vk.com/wall-224692604_112692,"Нас не сломить. Ни пеплом, ни разрухой.
А мягкий мишка — напоминание, что победа нужна ради будущего.",Пост,,,23:39 24.07.2025,236,6,2,3680,"Нас не сломить. Ни пеплом, ни разрухой., А мягкий мишка — напоминание, что победа нужна ради будущего."
https://vk.com/wall-148824521_116498,"Нас не сломить. Ни пеплом, ни разрухой.
А мягкий мишка — напоминание, что победа нужна ради будущего.",Пост,,,22:48 24.07.2025,19,0,0,700,"Нас не сломить. Ни пеплом, ни разрухой., А мягкий мишка — напоминание, что победа нужна ради будущего."
https://vk.com/wall-226389423_10085,"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.",Пост,,,22:39 24.07.2025,197,0,0,11887,"Даже в боевых условиях человек остаётся человеком., Добро всегда найдёт себе место — даже на передовой."
https://vk.com/wall-226389423_10084,"Нас не сломить. Ни пеплом, ни разрухой.
А мягкий мишка — напоминание, что победа нужна ради будущего.",Пост,,,22:39 24.07.2025,186,0,0,10672,"Нас не сломить. Ни пеплом, ни разрухой., А мягкий мишка — напоминание, что победа нужна ради будущего."
https://vk.com/wall-58801394_1018653,"Нас не сломить. Ни пеплом, ни разрухой.
А мягкий мишка — напоминание, что победа нужна ради будущего.",Пост,,,22:27 24.07.2025,414,0,2,17849,"Нас не сломить. Ни пеплом, ни разрухой., А мягкий мишка — напоминание, что победа нужна ради будущего."
https://vk.com/wall-46217147_311482,"Нас не сломить. Ни пеплом, ни разрухой.
А мягкий мишка — напоминание, что победа нужна ради будущего.",Пост,,,22:22 24.07.2025,274,0,0,30778,"Нас не сломить. Ни пеплом, ни разрухой., А мягкий мишка — напоминание, что победа нужна ради будущего."
https://vk.com/wall-221267807_163923,"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.",Пост,,,20:41 24.07.2025,41,0,0,759,"Даже в боевых условиях человек остаётся человеком., Добро всегда найдёт себе место — даже на передовой."
https://vk.com/wall-221267807_163922,"Нас не сломить. Ни пеплом, ни разрухой.
А мягкий мишка — напоминание, что победа нужна ради будущего.",Пост,,,20:41 24.07.2025,29,0,0,590,"Нас не сломить. Ни пеплом, ни разрухой., А мягкий мишка — напоминание, что победа нужна ради будущего."
https://vk.com/wall-63960562_343049,"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.",Пост,,,20:12 24.07.2025,2,0,0,111,"Даже в боевых условиях человек остаётся человеком., Добро всегда найдёт себе место — даже на передовой."
https://vk.com/wall-200203334_62754,"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.",Пост,,,20:02 24.07.2025,158,11,2,1407,"Даже в боевых условиях человек остаётся человеком., Добро всегда найдёт себе место — даже на передовой."
